CountryCode,CountryName,Región,GTCEcrono,GTCEenMx,GTCEmemberx2,GTCEmemberx3,GTCEm1,GTCEm2,GTCEm3,GTCE70vs20,GTCE77vs13,GTCE14dummy,EGOVordx4original,EGOVordx16original,EGOV2020x2,EGOV2020x3,EGOV2020x4,EGOV_muyAltoD,EGOV_AltoD,Densidadx2,Densidadx3,Densidadx4,DensidadMediaBaja_DUM,DensidadMediaAlta_DUM,DensidadMenor,DensidadMayor,DensidadAlta_DUM,INCOMEx2,INCOMEx4,RTA#,ecRTA#,Red_ecRTA_1almenos,Red_ecRTAx3ok,Red_RTAx3ok,Red_RTA_altaDUM,Red_ecRTA_altaDUM,Red_ecRTAx4,Red_RTAx4,Red_ecRTAx2ok,Red_RTAx2ok,REGPOLx4,REGPOLx2,ECOMx2,filter_$INTEGRADO,filter_$ecRTAcat1,filter_$
MDV1,Maldives M1,1,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,3,2,0,0,0,0,0,0,0,0,0,0,2,0, , ,1,0
MDV2,Maldives M2,1,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,3,2,0,0,0,0,0,0,0,0,0,0,2,0, , ,1,0
MDV3,Maldives M3,1,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,3,2,0,0,0,0,0,0,0,0,0,0,2,0, , ,1,0
MLI1,Mali M1,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
MLI2,Mali M2,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
MLI3,Mali M3,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
MLT1,Malta M1,3,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,3,0,1,0,1,0,1,4,46,17,1,2,2,1,1,3,3,1,1,0, ,1,1,0,0
MLT2,Malta M2,3,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,3,0,1,0,1,0,1,4,46,17,1,2,2,1,1,3,3,1,1,0, ,1,1,0,0
MLT3,Malta M3,3,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,3,0,1,0,1,0,1,4,46,17,1,2,2,1,1,3,3,1,1,0, ,1,1,0,0
MHL1,Marshall Islands M1,7,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0, , , , , , , , ,1,3,1,0,0,0,0,0,0,0,0,0,0,0, , ,0,1,0
MHL2,Marshall Islands M2,7,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0, , , , , , , , ,1,3,1,0,0,0,0,0,0,0,0,0,0,0, , ,0,1,0
MHL3,Marshall Islands M3,7,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0, , , , , , , , ,1,3,1,0,0,0,0,0,0,0,0,0,0,0, , ,0,1,0
MRT1,Mauritania M1,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
MRT2,Mauritania M2,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
MRT3,Mauritania M3,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
MUS1,Mauritius M1,4,2,0,1,1,0,0,1,0,0,0,3,12,1,1,2,0,1,0,2,3,0,1,1,0,0,1,3,8,2,1,1,1,1,0,1,2,0,1,3,1,1,1,1,0
MUS2,Mauritius M2,4,2,0,1,1,0,0,1,0,0,0,3,12,1,1,2,0,1,0,2,3,0,1,1,0,0,1,3,8,2,1,1,1,1,0,1,2,0,1,3,1,1,1,1,0
MUS3,Mauritius M3,4,2,1,1,1,0,0,1,0,0,0,3,12,1,1,2,0,1,0,2,3,0,1,1,0,0,1,3,8,2,1,1,1,1,0,1,2,0,1,3,1,1,1,1,0
MEX1,Mexico M1,5,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,0,2,2,1,0,1,0,0,1,3,23,6,1,2,2,1,1,2,3,1,1,3,1,0,1,1,0
MEX2,Mexico M2,5,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,0,2,2,1,0,1,0,0,1,3,23,6,1,2,2,1,1,2,3,1,1,3,1,0,1,1,0
MEX3,Mexico M3,5,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,0,2,2,1,0,1,0,0,1,3,23,6,1,2,2,1,1,2,3,1,1,3,1,0,1,1,0
MDA1,Moldova M1,2,0,1,1,2,1,1,1,1,1,0, ,11, , , , , ,1,2,3,0,1,0,1,0,1,3,9,3,1,1,1,1,0,2,2,1,1,3, , ,1,1,0
MDA2,Moldova M2,2,0,1,1,2,1,1,1,1,1,0, ,11, , , , , ,1,2,3,0,1,0,1,0,1,3,9,3,1,1,1,1,0,2,2,1,1,3, , ,1,1,0
MDA3,Moldova M3,2,0,1,1,2,1,1,1,1,1,0, ,11, , , , , ,1,2,3,0,1,0,1,0,1,3,9,3,1,1,1,1,0,2,2,1,1,3, , ,1,1,0
